,home,away,date,season,venue,type,toss,winner,man_of_match,points
86,Royal Challengers Bangalore,Mumbai Indians,"3rd May, 2009",2009 - 28th Match,"Wanderers Stadium, Johannesburg","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Royal Challengers Bangalore won by 9 wickets,Jacques Kallis,
87,Chennai Super Kings,Deccan Chargers,"4th May, 2009",2009 - 29th Match,"Buffalo Park, East London","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 78 runs,M S Dhoni,
88,Kings XI Punjab,Rajasthan Royals,"5th May, 2009",2009 - 30th Match,"Kingsmead, Durban","20 Overs, Day Match",Kings XI Punjab won the toss and elected to field,Rajasthan Royals won by 78 runs,Graeme Smith,
89,Delhi Daredevils,Kolkata Knight Riders,"5th May, 2009",2009 - 31st Match,"Kingsmead, Durban","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Delhi Daredevils won by 9 wickets,Gautam Gambhir,
90,Deccan Chargers,Mumbai Indians,"6th May, 2009",2009 - 32nd Match,"SuperSport Park, Centurion","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Deccan Chargers won by 19 runs,Rohit Sharma,
91,Royal Challengers Bangalore,Rajasthan Royals,"7th May, 2009",2009 - 33rd Match,"SuperSport Park, Centurion","20 Overs, Day Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 7 wickets,Amit Singh,
92,Chennai Super Kings,Kings XI Punjab,"7th May, 2009",2009 - 34th Match,"SuperSport Park, Centurion","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 12 runs [D/L Method],Matthew Hayden,"Chennai Super Kings 2, Kings XI Punjab 0"
93,Delhi Daredevils,Mumbai Indians,"8th May, 2009",2009 - 35th Match,"Buffalo Park, East London","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Delhi Daredevils won by 7 wickets,Ashish Nehra,
94,Deccan Chargers,Kings XI Punjab,"9th May, 2009",2009 - 36th Match,"Diamond Oval, Kimberley","20 Overs, Day Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 3 wickets,Mahela Jayawardene,
95,Chennai Super Kings,Rajasthan Royals,"9th May, 2009",2009 - 37th Match,"Diamond Oval, Kimberley","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Chennai Super Kings won by 7 wickets,Subramaniam Badrinath,
96,Royal Challengers Bangalore,Mumbai Indians,"10th May, 2009",2009 - 38th Match,"St George's Park, Port Elizabeth","20 Overs, Day Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 16 runs,Jean-Paul Duminy,
97,Delhi Daredevils,Kolkata Knight Riders,"10th May, 2009",2009 - 39th Match,"Wanderers Stadium, Johannesburg","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 7 wickets,Amit Mishra,
98,Deccan Chargers,Rajasthan Royals,"11th May, 2009",2009 - 40th Match,"Diamond Oval, Kimberley","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Deccan Chargers won by 53 runs,Dwayne Smith,
99,Royal Challengers Bangalore,Kolkata Knight Riders,"12th May, 2009",2009 - 41st Match,"SuperSport Park, Centurion","20 Overs, Day Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 6 wickets,Ross Taylor,
100,Kings XI Punjab,Mumbai Indians,"12th May, 2009",2009 - 42nd Match,"SuperSport Park, Centurion","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Mumbai Indians won by 8 wickets,Harbhajan Singh,
101,Deccan Chargers,Delhi Daredevils,"13th May, 2009",2009 - 43rd Match,"Kingsmead, Durban","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Delhi Daredevils won by 12 runs,Rajat Bhatia,
102,Royal Challengers Bangalore,Chennai Super Kings,"14th May, 2009",2009 - 44th Match,"Kingsmead, Durban","20 Overs, Day Match",Chennai Super Kings won the toss and elected to bat,Royal Challengers Bangalore won by 2 wickets,Ross Taylor,
103,Mumbai Indians,Rajasthan Royals,"14th May, 2009",2009 - 45th Match,"Kingsmead, Durban","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 2 runs,Shane Warne,
104,Delhi Daredevils,Kings XI Punjab,"15th May, 2009",2009 - 46th Match,"Mangaung Oval, Bloemfontein","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 6 wickets,Brett Lee,
105,Chennai Super Kings,Mumbai Indians,"16th May, 2009",2009 - 47th Match,"St George's Park, Port Elizabeth","20 Overs, Day Match",Mumbai Indians won the toss and elected to bat,Chennai Super Kings won by 7 wickets,Matthew Hayden,
106,Deccan Chargers,Kolkata Knight Riders,"16th May, 2009",2009 - 48th Match,"Wanderers Stadium, Johannesburg","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Deccan Chargers won by 6 wickets,Rohit Sharma,
107,Deccan Chargers,Kings XI Punjab,"17th May, 2009",2009 - 49th Match,"Wanderers Stadium, Johannesburg","20 Overs, Day Match",Deccan Chargers won the toss and elected to field,Kings XI Punjab won by 1 run,Yuvraj Singh,
108,Delhi Daredevils,Rajasthan Royals,"17th May, 2009",2009 - 50th Match,"Mangaung Oval, Bloemfontein","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Delhi Daredevils won by 14 runs,AB de Villiers,
109,Chennai Super Kings,Kolkata Knight Riders,"18th May, 2009",2009 - 51st Match,"SuperSport Park, Centurion","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Kolkata Knight Riders won by 7 wickets,Bradley Hodge,
110,Royal Challengers Bangalore,Delhi Daredevils,"19th May, 2009",2009 - 52nd Match,"Wanderers Stadium, Johannesburg","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Royal Challengers Bangalore won by 7 wickets,Jacques Kallis,
111,Kolkata Knight Riders,Rajasthan Royals,"20th May, 2009",2009 - 53rd Match,"Kingsmead, Durban","20 Overs, Day Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 4 wickets,Laxmi Shukla,
112,Chennai Super Kings,Kings XI Punjab,"20th May, 2009",2009 - 54th Match,"Kingsmead, Durban","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 24 runs,Muttiah Muralitharan,
113,Delhi Daredevils,Mumbai Indians,"21st May, 2009",2009 - 55th Match,"SuperSport Park, Centurion","20 Overs, Day Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 4 wickets,Virender Sehwag,
114,Royal Challengers Bangalore,Deccan Chargers,"21st May, 2009",2009 - 56th Match,"SuperSport Park, Centurion","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 12 runs,Manish Pandey,
115,Delhi Daredevils,Deccan Chargers,"22nd May, 2009",2009 - 1st Semi Final,"SuperSport Park, Centurion","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Deccan Chargers won by 6 wickets,Adam Gilchrist,
116,Royal Challengers Bangalore,Chennai Super Kings,"23rd May, 2009",2009 - 2nd Semi Final,"Wanderers Stadium, Johannesburg","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 6 wickets,Manish Pandey,
117,Royal Challengers Bangalore,Deccan Chargers,"24th May, 2009",2009 - Final,"Wanderers Stadium, Johannesburg","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Deccan Chargers won by 6 runs,Anil Kumble,
118,Deccan Chargers,Kolkata Knight Riders,"12th March, 2010",2010 - 1st Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Kolkata Knight Riders won by 11 runs,Angelo Mathews,
119,Mumbai Indians,Rajasthan Royals,"13th March, 2010",2010 - 2nd Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 4 runs,Yusuf Pathan,
120,Kings XI Punjab,Delhi Daredevils,"13th March, 2010",2010 - 3rd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 5 wickets,Gautam Gambhir,
121,Kolkata Knight Riders,Royal Challengers Bangalore,"14th March, 2010",2010 - 4th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 7 wickets,Manoj Tiwary,
122,Chennai Super Kings,Deccan Chargers,"14th March, 2010",2010 - 5th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Deccan Chargers won by 31 runs,Chaminda Vaas,
123,Rajasthan Royals,Delhi Daredevils,"15th March, 2010",2010 - 6th Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 6 wickets,Virender Sehwag,
124,Royal Challengers Bangalore,Kings XI Punjab,"16th March, 2010",2010 - 7th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Royal Challengers Bangalore won by 8 wickets,Jacques Kallis,
125,Chennai Super Kings,Kolkata Knight Riders,"16th March, 2010",2010 - 8th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 55 runs,M S Dhoni,
126,Delhi Daredevils,Mumbai Indians,"17th March, 2010",2010 - 9th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Mumbai Indians won by 98 runs,Sachin Tendulkar,
127,Royal Challengers Bangalore,Rajasthan Royals,"18th March, 2010",2010 - 10th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 10 wickets,Jacques Kallis,
128,Delhi Daredevils,Chennai Super Kings,"19th March, 2010",2010 - 11th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Chennai Super Kings won by 5 wickets,Matthew Hayden,
129,Deccan Chargers,Kings XI Punjab,"19th March, 2010",2010 - 12th Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Deccan Chargers won by 6 runs,Andrew Symonds,
130,Rajasthan Royals,Kolkata Knight Riders,"20th March, 2010",2010 - 13th Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 34 runs,Abhishek Jhunjhunwala,
131,Mumbai Indians,Royal Challengers Bangalore,"20th March, 2010",2010 - 14th Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Royal Challengers Bangalore won by 7 wickets,Jacques Kallis,
132,Deccan Chargers,Delhi Daredevils,"21st March, 2010",2010 - 15th Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Deccan Chargers won by 10 runs,Andrew Symonds,
133,Chennai Super Kings,Kings XI Punjab,"21st March, 2010",2010 - 16th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Kings XI Punjab won in super over after scores were tied,Rusty Theron,
134,Mumbai Indians,Kolkata Knight Riders,"22nd March, 2010",2010 - 17th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Mumbai Indians won by 7 wickets,Sachin Tendulkar,
135,Royal Challengers Bangalore,Chennai Super Kings,"23rd March, 2010",2010 - 18th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Royal Challengers Bangalore won by 36 runs,Robin Uthappa,
136,Kings XI Punjab,Rajasthan Royals,"24th March, 2010",2010 - 19th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Rajasthan Royals won by 31 runs,Adam Voges,
137,Royal Challengers Bangalore,Delhi Daredevils,"25th March, 2010",2010 - 20th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Delhi Daredevils won by 17 runs,Kedar Jadhav,
138,Mumbai Indians,Chennai Super Kings,"25th March, 2010",2010 - 21st Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 5 wickets,Sachin Tendulkar,
139,Rajasthan Royals,Deccan Chargers,"26th March, 2010",2010 - 22nd Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Rajasthan Royals won by 8 wickets,Yusuf Pathan,
140,Kings XI Punjab,Kolkata Knight Riders,"27th March, 2010",2010 - 23rd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 39 runs,Manoj Tiwary,
141,Rajasthan Royals,Chennai Super Kings,"28th March, 2010",2010 - 24th Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 17 runs,Naman Ojha,
142,Deccan Chargers,Mumbai Indians,"28th March, 2010",2010 - 25th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Mumbai Indians won by 41 runs,Harbhajan Singh,
143,Delhi Daredevils,Kolkata Knight Riders,"29th March, 2010",2010 - 26th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Delhi Daredevils won by 40 runs,David Warner,
144,Mumbai Indians,Kings XI Punjab,"30th March, 2010",2010 - 27th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 4 wickets,Lasith Malinga,
145,Chennai Super Kings,Royal Challengers Bangalore,"31st March, 2010",2010 - 28th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Chennai Super Kings won by 5 wickets,Murali Vijay,
146,Delhi Daredevils,Rajasthan Royals,"31st March, 2010",2010 - 29th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Delhi Daredevils won by 67 runs,Dinesh Karthik,
147,Kolkata Knight Riders,Deccan Chargers,"1st April, 2010",2010 - 30th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 24 runs,Sourav Ganguly,
148,Kings XI Punjab,Royal Challengers Bangalore,"2nd April, 2010",2010 - 31st Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Royal Challengers Bangalore won by 6 wickets,Kevin Pietersen,
149,Chennai Super Kings,Rajasthan Royals,"3rd April, 2010",2010 - 32nd Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 23 runs,Murali Vijay,
150,Mumbai Indians,Deccan Chargers,"3rd April, 2010",2010 - 33rd Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 63 runs,Ambati Rayudu,
151,Kolkata Knight Riders,Kings XI Punjab,"4th April, 2010",2010 - 34th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kings XI Punjab won by 8 wickets,Mahela Jayawardene,
152,Delhi Daredevils,Royal Challengers Bangalore,"4th April, 2010",2010 - 35th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Delhi Daredevils won by 37 runs,Paul Collingwood,
153,Deccan Chargers,Rajasthan Royals,"5th April, 2010",2010 - 36th Match,"Vidarbha Cricket Association Stadium, Nagpur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 2 runs,Shane Warne,
154,Chennai Super Kings,Mumbai Indians,"6th April, 2010",2010 - 37th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 24 runs,Suresh Raina,
155,Rajasthan Royals,Kings XI Punjab,"7th April, 2010",2010 - 38th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Rajasthan Royals won by 9 wickets,Michael Lumb,
