,home,away,date,season,venue,type,toss,winner,man_of_match,points
110,Kolkata Knight Riders,Kings XI Punjab,"26th April, 2013",2013 - 35th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Kolkata Knight Riders won by 6 wickets,Jacques Kallis,
111,Sunrisers Hyderabad,Rajasthan Royals,"27th April, 2013",2013 - 36th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Rajasthan Royals won by 8 wickets,James Faulkner,
112,Mumbai Indians,Royal Challengers Bangalore,"27th April, 2013",2013 - 37th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 58 runs,Dwayne Smith,
113,Chennai Super Kings,Kolkata Knight Riders,"28th April, 2013",2013 - 38th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Chennai Super Kings won by 14 runs,Michael Hussey,
114,Delhi Daredevils,Pune Warriors,"28th April, 2013",2013 - 39th Match,"Shaheed Veer Narayan Sing International Stadium, Raipur","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to field,Delhi Daredevils won by 15 runs,David Warner,
115,Rajasthan Royals,Royal Challengers Bangalore,"29th April, 2013",2013 - 40th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 4 wickets,Sanju Samson,
116,Mumbai Indians,Kings XI Punjab,"29th April, 2013",2013 - 41st Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 4 runs,Rohit Sharma,
117,Chennai Super Kings,Pune Warriors,"30th April, 2013",2013 - 42nd Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 37 runs,M S Dhoni,
118,Mumbai Indians,Sunrisers Hyderabad,"1st May, 2013",2013 - 43rd Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Sunrisers Hyderabad won by 7 wickets,Ishant Sharma,
119,Delhi Daredevils,Kolkata Knight Riders,"1st May, 2013",2013 - 44th Match,"Shaheed Veer Narayan Sing International Stadium, Raipur","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Delhi Daredevils won by 7 wickets,David Warner,
120,Chennai Super Kings,Kings XI Punjab,"2nd May, 2013",2013 - 45th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 15 runs,Suresh Raina,
121,Pune Warriors,Royal Challengers Bangalore,"2nd May, 2013",2013 - 46th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 17 runs,AB de Villiers,
122,Kolkata Knight Riders,Rajasthan Royals,"3rd May, 2013",2013 - 47th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Kolkata Knight Riders won by 8 wickets,Yusuf Pathan,
123,Sunrisers Hyderabad,Delhi Daredevils,"4th May, 2013",2013 - 48th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Sunrisers Hyderabad won by 6 wickets,Daren Sammy,
124,Mumbai Indians,Chennai Super Kings,"5th May, 2013",2013 - 49th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 60 runs,Mitchell Johnson,
125,Rajasthan Royals,Pune Warriors,"5th May, 2013",2013 - 50th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to bat,Rajasthan Royals won by 5 wickets,Ajinkya Rahane,
126,Kings XI Punjab,Royal Challengers Bangalore,"6th May, 2013",2013 - 51st Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 6 wickets,David Miller,
127,Rajasthan Royals,Delhi Daredevils,"7th May, 2013",2013 - 52nd Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Rajasthan Royals won by 9 wickets,Ajinkya Rahane,
128,Mumbai Indians,Kolkata Knight Riders,"7th May, 2013",2013 - 53rd Match,"Wankhede Stadium, Mumbai","20 Overs, Day Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 65 runs,Sachin Tendulkar,
129,Sunrisers Hyderabad,Chennai Super Kings,"8th May, 2013",2013 - 54th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Chennai Super Kings won by 77 runs,Suresh Raina,
130,Kings XI Punjab,Rajasthan Royals,"9th May, 2013",2013 - 55th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 8 wickets,Kevon Cooper,
131,Pune Warriors,Kolkata Knight Riders,"9th May, 2013",2013 - 56th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 46 runs,Gautam Gambhir,
132,Royal Challengers Bangalore,Delhi Daredevils,"10th May, 2013",2013 - 57th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Royal Challengers Bangalore won by 4 runs,Jaydev Unadkat,
133,Pune Warriors,Mumbai Indians,"11th May, 2013",2013 - 58th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to bat,Mumbai Indians won by 5 wickets,Mitchell Johnson,
134,Kings XI Punjab,Sunrisers Hyderabad,"11th May, 2013",2013 - 59th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Sunrisers Hyderabad won by 30 runs,Parthiv Patel,
135,Kolkata Knight Riders,Royal Challengers Bangalore,"12th May, 2013",2013 - 60th Match,"JSCA International Stadium Complex, Ranchi","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 5 wickets,Jacques Kallis,
136,Rajasthan Royals,Chennai Super Kings,"12th May, 2013",2013 - 61st Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 5 wickets,Shane Watson,
137,Mumbai Indians,Sunrisers Hyderabad,"13th May, 2013",2013 - 62nd Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Mumbai Indians won by 7 wickets,Kieron Pollard,
138,Royal Challengers Bangalore,Kings XI Punjab,"14th May, 2013",2013 - 63rd Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 7 wickets,Adam Gilchrist,
139,Chennai Super Kings,Delhi Daredevils,"14th May, 2013",2013 - 64th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 33 runs,M S Dhoni,
140,Kolkata Knight Riders,Pune Warriors,"15th May, 2013",2013 - 65th Match,"JSCA International Stadium Complex, Ranchi","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Pune Warriors won by 7 runs,Manish Pandey,
141,Mumbai Indians,Rajasthan Royals,"15th May, 2013",2013 - 66th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Mumbai Indians won by 14 runs,Aditya Tare,
142,Kings XI Punjab,Delhi Daredevils,"16th May, 2013",2013 - 67th Match,"Himachal Pradesh Cricket Association Stadium, Dharamsala","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Kings XI Punjab won by 7 runs,David Miller,
143,Sunrisers Hyderabad,Rajasthan Royals,"17th May, 2013",2013 - 68th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Sunrisers Hyderabad won by 23 runs,Amit Mishra,
144,Kings XI Punjab,Mumbai Indians,"18th May, 2013",2013 - 69th Match,"Himachal Pradesh Cricket Association Stadium, Dharamsala","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Kings XI Punjab won by 50 runs,Azhar Mahmood,
145,Royal Challengers Bangalore,Chennai Super Kings,"18th May, 2013",2013 - 70th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Royal Challengers Bangalore won by 24 runs,Virat Kohli,"Royal Challengers Bangalore 2, Chennai Super Kings 0"
146,Pune Warriors,Delhi Daredevils,"19th May, 2013",2013 - 71st Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to bat,Pune Warriors won by 38 runs,Luke Wright,
147,Sunrisers Hyderabad,Kolkata Knight Riders,"19th May, 2013",2013 - 72nd Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Sunrisers Hyderabad won by 5 wickets,Parthiv Patel,
148,Chennai Super Kings,Mumbai Indians,"21st May, 2013",2013 - 1st Qualifying Final,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 48 runs,Michael Hussey,
149,Rajasthan Royals,Sunrisers Hyderabad,"22nd May, 2013",2013 - Elimination Final,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Rajasthan Royals won by 4 wickets,Bradley Hodge,
150,Mumbai Indians,Rajasthan Royals,"24th May, 2013",2013 - 2nd Qualifying Final,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Mumbai Indians won by 4 wickets,Harbhajan Singh,
151,Chennai Super Kings,Mumbai Indians,"26th May, 2013",2013 - Final,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 23 runs,Kieron Pollard,
152,Kolkata Knight Riders,Mumbai Indians,"16th April, 2014",2014 - 1st Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 41 runs,Jacques Kallis,
153,Royal Challengers Bangalore,Delhi Daredevils,"17th April, 2014",2014 - 2nd Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 8 wickets,Yuzvendra Chahal,
154,Chennai Super Kings,Kings XI Punjab,"18th April, 2014",2014 - 3rd Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day Match",Chennai Super Kings won the toss and elected to bat,Kings XI Punjab won by 6 wickets,Glenn Maxwell,
155,Sunrisers Hyderabad,Rajasthan Royals,"18th April, 2014",2014 - 4th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 4 wickets,Ajinkya Rahane,
156,Mumbai Indians,Royal Challengers Bangalore,"19th April, 2014",2014 - 5th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 7 wickets,Parthiv Patel,
157,Kolkata Knight Riders,Delhi Daredevils,"19th April, 2014",2014 - 6th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Delhi Daredevils won by 4 wickets,Jean-Paul Duminy,
158,Rajasthan Royals,Kings XI Punjab,"20th April, 2014",2014 - 7th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 7 wickets,Glenn Maxwell,
159,Chennai Super Kings,Delhi Daredevils,"21st April, 2014",2014 - 8th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 93 runs,Suresh Raina,
160,Kings XI Punjab,Sunrisers Hyderabad,"22nd April, 2014",2014 - 9th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Kings XI Punjab won by 72 runs,Glenn Maxwell,
161,Chennai Super Kings,Rajasthan Royals,"23rd April, 2014",2014 - 10th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Chennai Super Kings won by 7 runs,Ravindra Jadeja,
162,Royal Challengers Bangalore,Kolkata Knight Riders,"24th April, 2014",2014 - 11th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Kolkata Knight Riders won by 2 runs,Chris Lynn,
163,Sunrisers Hyderabad,Delhi Daredevils,"25th April, 2014",2014 - 12th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day Match",Sunrisers Hyderabad won the toss and elected to bat,Sunrisers Hyderabad won by 4 runs,Aaron Finch,
164,Chennai Super Kings,Mumbai Indians,"25th April, 2014",2014 - 13th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Chennai Super Kings won by 7 wickets,Mohit Sharma,
165,Royal Challengers Bangalore,Rajasthan Royals,"26th April, 2014",2014 - 14th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 6 wickets,Pravin Tambe,
166,Kolkata Knight Riders,Kings XI Punjab,"26th April, 2014",2014 - 15th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kings XI Punjab won by 23 runs,Sandeep Sharma,
167,Delhi Daredevils,Mumbai Indians,"27th April, 2014",2014 - 16th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day Match",Mumbai Indians won the toss and elected to bat,Delhi Daredevils won by 6 wickets,Murali Vijay,
168,Sunrisers Hyderabad,Chennai Super Kings,"27th April, 2014",2014 - 17th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Chennai Super Kings won by 5 wickets,Dwayne Smith,
169,Kings XI Punjab,Royal Challengers Bangalore,"28th April, 2014",2014 - 18th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 5 wickets,Sandeep Sharma,
170,Kolkata Knight Riders,Rajasthan Royals,"29th April, 2014",2014 - 19th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won on boundary count after scores and super over were tied,James Faulkner,"Rajasthan Royals 2, Kolkata Knight Riders 0"
171,Mumbai Indians,Sunrisers Hyderabad,"30th April, 2014",2014 - 20th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Sunrisers Hyderabad won by 15 runs,Bhuvneshwar Kumar,
172,Chennai Super Kings,Kolkata Knight Riders,"2nd May, 2014",2014 - 21st Match,"JSCA International Stadium Complex, Ranchi","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 34 runs,Ravindra Jadeja,
173,Mumbai Indians,Kings XI Punjab,"3rd May, 2014",2014 - 22nd Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Mumbai Indians won by 5 wickets,Corey Anderson,
174,Delhi Daredevils,Rajasthan Royals,"3rd May, 2014",2014 - 23rd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 7 wickets,Karun Nair,
175,Royal Challengers Bangalore,Sunrisers Hyderabad,"4th May, 2014",2014 - 24th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 4 wickets,AB de Villiers,
176,Rajasthan Royals,Kolkata Knight Riders,"5th May, 2014",2014 - 25th Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Rajasthan Royals won by 10 runs,Pravin Tambe,
177,Delhi Daredevils,Chennai Super Kings,"5th May, 2014",2014 - 26th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 8 wickets,Dwayne Smith,
178,Mumbai Indians,Royal Challengers Bangalore,"6th May, 2014",2014 - 27th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Mumbai Indians won by 19 runs,Rohit Sharma,
179,Delhi Daredevils,Kolkata Knight Riders,"7th May, 2014",2014 - 28th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Kolkata Knight Riders won by 8 wickets,Gautam Gambhir,
180,Kings XI Punjab,Chennai Super Kings,"7th May, 2014",2014 - 29th Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Kings XI Punjab won by 44 runs,Glenn Maxwell,
181,Sunrisers Hyderabad,Rajasthan Royals,"8th May, 2014",2014 - 30th Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Sunrisers Hyderabad won by 32 runs,Bhuvneshwar Kumar,
182,Royal Challengers Bangalore,Kings XI Punjab,"9th May, 2014",2014 - 31st Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Kings XI Punjab won by 32 runs,Shivam Sharma,
